,종목코드,종목명,시가총액,기업구분,PBR,1/PBR
242,37710,광주신세계,256000000000.0,S,0.34,H
243,36530,SNT홀딩스,255971000000.0,S,0.24,H
244,107590,미원홀딩스,255200000000.0,S,1.26,L
245,1940,KISCO홀딩스,253160000000.0,S,0.23,H
246,10690,화신,252125000000.0,S,0.82,H
247,117580,대성에너지,251350000000.0,S,0.78,H
248,3960,사조대림,248815000000.0,S,0.47,H
249,55490,테이팩스,247205000000.0,S,1.88,L
250,3200,일신방직,247200000000.0,S,0.3,H
251,2620,제일파마홀딩스,245990000000.0,S,0.57,H
252,139990,아주스틸,245741000000.0,S,1.04,L
253,1470,삼부토건,245115000000.0,S,0.74,H
254,68290,삼성출판사,242000000000.0,S,1.27,L
255,214390,경보제약,239069000000.0,S,1.64,L
256,1520,동양,238684000000.0,S,0.25,H
257,2710,TCC스틸,237359000000.0,S,1.44,L
258,102260,동성케미컬,235032000000.0,S,0.68,H
259,4980,성신양회,233883000000.0,S,0.57,H
260,317400,자이에스앤디,233859000000.0,S,0.77,H
261,12320,경동인베스트,232955000000.0,S,0.5,H
262,1780,알루코,232571000000.0,S,1.02,L
263,230,일동홀딩스,232539000000.0,S,4.27,L
264,15230,대창단조,231149000000.0,S,0.98,H
265,29460,케이씨,231096000000.0,S,0.32,H
266,2390,한독,230539000000.0,S,0.6,H
267,2810,삼영무역,229914000000.0,S,0.53,H
268,339770,교촌에프앤비,229839000000.0,S,1.28,L
269,83420,그린케미칼,229680000000.0,S,1.81,L
270,1790,대한제당,228278000000.0,S,0.48,H
271,77500,유니퀘스트,225687000000.0,S,0.73,H
272,140,하이트진로홀딩스,225570000000.0,S,0.41,H
273,7160,사조산업,225000000000.0,S,0.5,H
274,3120,일성신약,224504000000.0,S,0.37,H
275,1130,대한제분,223925000000.0,S,0.25,H
276,19680,대교,221498000000.0,S,0.43,H
277,136490,선진,221150000000.0,S,0.54,H
278,5720,넥센,219798000000.0,S,0.21,H
279,11760,현대코퍼레이션,214309000000.0,S,0.54,H
280,84680,이월드,214127000000.0,S,0.89,H
281,200880,서연이화,212444000000.0,S,0.32,H
282,8060,대덕,210458000000.0,S,0.37,H
283,430,대원강업,210180000000.0,S,0.45,H
284,11280,태림포장,202859000000.0,S,0.61,H
285,71970,STX중공업,200938000000.0,S,1.3,L
286,2100,경농,197178000000.0,S,0.85,H
287,103590,일진전기,196897000000.0,S,0.61,H
288,23450,동남합성,196384000000.0,S,4.21,L
289,10580,에스엠벡셀,194134000000.0,S,3.53,L
290,1340,백광산업,193598000000.0,S,1.0,L
291,58430,포스코스틸리온,193200000000.0,S,0.6,H
292,101530,해태제과식품,191880000000.0,S,0.68,H
293,35150,백산,191453000000.0,S,1.36,L
294,15890,태경산업,189402000000.0,S,0.7,H
295,15360,예스코홀딩스,189000000000.0,S,0.27,H
296,15860,일진홀딩스,188507000000.0,S,0.42,H
297,31440,신세계푸드,186073000000.0,S,0.65,H
298,2780,진흥기업,185476000000.0,S,1.09,L
299,16450,한세예스24홀딩스,185000000000.0,S,0.38,H
300,14280,금강공업,181549000000.0,S,0.55,H
301,4970,신라교역,180800000000.0,S,0.32,H
302,1360,삼성제약,180330000000.0,S,1.42,L
303,214330,금호에이치티,179330000000.0,S,0.48,H
304,194370,제이에스코퍼레이션,178697000000.0,S,0.84,H
305,79430,현대리바트,176398000000.0,S,0.35,H
306,2210,동성제약,174354000000.0,S,3.33,L
307,128820,대성산업,174157000000.0,S,0.31,H
308,28100,동아지질,170740000000.0,S,0.67,H
309,105840,우진,170312000000.0,S,1.18,L
310,12610,경인양행,170211000000.0,S,0.74,H
311,100250,진양홀딩스,169083000000.0,S,0.51,H
312,79980,휴비스,168533000000.0,S,0.34,H
313,700,유수홀딩스,166668000000.0,S,0.49,H
314,5960,동부건설,166071000000.0,S,0.3,H
315,14160,대영포장,165844000000.0,S,0.94,H
316,4710,한솔테크닉스,163760000000.0,S,0.58,H
317,7860,서연,162715000000.0,S,0.32,H
318,372910,한컴라이프케어,161895000000.0,S,1.39,L
319,248170,샘표식품,158748000000.0,S,0.74,H
320,9270,신원,158496000000.0,S,0.58,H
321,2170,삼양통상,158400000000.0,S,0.37,H
322,10820,퍼스텍,157642000000.0,S,3.62,L
323,11810,STX,157418000000.0,S,2.35,L
324,9410,태영건설,156763000000.0,S,0.23,H
325,4560,현대비앤지스틸,156066000000.0,S,0.32,H
326,11500,한농화성,155901000000.0,S,1.03,L
327,3830,대한화섬,155376000000.0,S,0.18,H
328,90350,노루페인트,154800000000.0,S,0.46,H
329,24090,디씨엠,154470000000.0,S,0.53,H
330,33530,세종공업,152459000000.0,S,0.37,H
331,134380,미원화학,151090000000.0,S,1.17,L
332,267290,경동도시가스,149154000000.0,S,0.4,H
333,19440,세아특수강,146976000000.0,S,0.44,H
334,6490,인스코비,144491000000.0,S,2.14,L
335,17550,수산중공업,143870000000.0,S,1.18,L
336,14580,태경비케이,143432000000.0,S,0.95,H
337,36580,팜스코,143239000000.0,S,0.46,H
338,78520,에이블씨엔씨,141655000000.0,S,1.2,L
339,33920,무학,140648000000.0,S,0.26,H
340,4080,신흥,140600000000.0,S,1.37,L
341,100840,SNT에너지,140000000000.0,S,0.5,H
342,13570,디와이,139494000000.0,S,0.38,H
343,7210,벽산,138491000000.0,S,0.5,H
344,4150,한솔홀딩스,137368000000.0,S,0.26,H
345,7540,샘표,136313000000.0,S,0.55,H
346,210540,디와이파워,135261000000.0,S,0.6,H
347,860,강남제비스코,134875000000.0,S,0.23,H
348,3160,디아이,134284000000.0,S,0.86,H
349,320,노루홀딩스,132513000000.0,S,0.28,H
350,2700,신일전자,132148000000.0,S,1.58,L
351,92200,디아이씨,131054000000.0,S,1.4,L
352,123690,한국화장품,130794000000.0,S,5.95,L
353,63160,종근당바이오,130566000000.0,S,0.81,H
354,3350,한국화장품제조,129389000000.0,S,2.41,L
355,8700,아남전자,128798000000.0,S,1.64,L
356,5430,한국공항,127446000000.0,S,0.42,H
357,8040,사조동아원,127312000000.0,S,0.56,H
358,4140,동방,126885000000.0,S,0.98,H
359,17900,광전자,126607000000.0,S,0.52,H
360,14530,극동유화,126576000000.0,S,0.68,H
361,120030,조선선재,125388000000.0,S,0.8,H
362,6890,태경케미컬,124700000000.0,S,0.87,H
363,500,가온전선,123999000000.0,S,0.33,H
364,34590,인천도시가스,122056000000.0,S,0.6,H
365,2600,조흥,121500000000.0,S,0.83,H
366,91090,세원이앤씨,120474000000.0,S,0.48,H
367,32560,황금에스티,118490000000.0,S,0.4,H
368,7280,한국특강,117847000000.0,S,0.73,H
369,520,삼일제약,117670000000.0,S,1.63,L
370,2450,삼익악기,116332000000.0,S,0.42,H
371,13360,일성건설,115613000000.0,S,1.06,L
372,10040,한국내화,115604000000.0,S,0.39,H
373,3480,한진중공업홀딩스,115019000000.0,S,0.32,H
374,8970,동양철관,112109000000.0,S,1.33,L
375,2720,국제약품,111073000000.0,S,1.54,L
376,12800,대창,109824000000.0,S,0.38,H
