종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"121600","나노신소재","77500","-1500","-1.90","703","110.24","2758","28.10","9322","8.31","120","0.15"
"247660","나노씨엠에스","18900","-900","-4.55",,,,,"7212","2.62","0","0.00"
"039860","나노엔텍","5950","260","4.57","273","21.79",,,"1953","3.05","0","0.00"
"091970","나노캠텍","1610","0","0.00",,,,,"1665","0.97","0","0.00"
"051490","나라엠앤디","5980","-110","-1.81","262","22.82",,,"6064","0.99","50","0.84"
"137080","나래나노텍","7140","-250","-3.38","2082","3.43",,,"7456","0.96","200","2.80"
"190510","나무가","17200","-300","-1.71","1164","14.78","3855","4.46","4157","4.14","0","0.00"
"242040","나무기술","1990","-10","-0.50",,,,,"1183","1.68","0","0.00"
"089600","나스미디어","25000","-700","-2.72","2323","10.76","3067","8.15","16579","1.51","800","3.20"
"293580","나우IB","12800","50","0.39","1332","9.61",,,"9232","1.39","150","1.17"
"138610","나이벡","18950","200","1.07",,,,,"2761","6.86","0","0.00"
"130580","나이스디앤비","7700","-10","-0.13","863","8.92","929","8.29","4702","1.64","230","2.99"
"036800","나이스정보통신","26550","-550","-2.03","4245","6.25","4710","5.64","29620","0.90","590","2.22"
"267320","나인테크","2920","-55","-1.85",,,,,"656","4.45","0","0.00"
"001260","남광토건","8780","-220","-2.44","2208","3.98",,,"8935","0.98","0","0.00"
"008350","남선알미늄","2130","-110","-4.91","377","5.65",,,"2135","1.00","0","0.00"
"008355","남선알미우","27100","-800","-2.87",,,,,,,"0","0.00"
"004270","남성","1930","-100","-4.93","226","8.54",,,"3790","0.51","25","1.30"
"003920","남양유업","489000","-3500","-0.71",,,,,"960522","0.51","1000","0.20"
"003925","남양유업우","242500","-500","-0.21",,,,,,,"1050","0.43"
"025860","남해화학","8510","-190","-2.18","452","18.83",,,"9748","0.87","60","0.71"
"111710","남화산업","8300","-240","-2.81","667","12.44",,,"7377","1.13","200","2.41"
"091590","남화토건","10550","-150","-1.40","1080","9.77",,,"12722","0.83","150","1.42"
"168330","내츄럴엔도텍","3250","-75","-2.26",,,,,"1408","2.31","0","0.00"
"094860","네오리진","567","-22","-3.74",,,,,"423","1.34","0","0.00"
"253590","네오셈","3365","-15","-0.44","156","21.57","549","6.12","1401","2.40","15","0.45"
"212560","네오오토","6600","-250","-3.65","834","7.91",,,"11311","0.58","70","1.06"
"095660","네오위즈","36950","-200","-0.54","2660","13.89","3747","9.86","21629","1.71","0","0.00"
"042420","네오위즈홀딩스","24250","-500","-2.02","8825","2.75",,,"59327","0.41","692","2.85"
"311390","네오크레마","7370","-430","-5.51","251","29.36",,,"5674","1.30","0","0.00"
"085910","네오티스","4615","-190","-3.95","497","9.29",,,"4159","1.11","250","5.42"
"092730","네오팜","19200","450","2.40","2265","8.48",,,"16662","1.15","700","3.65"
"290660","네오펙트","1395","-50","-3.46",,,,,"644","2.17","0","0.00"
"306620","네온테크","3340","-240","-6.70",,,,,"925","3.61","0","0.00"
"153460","네이블","7410","-70","-0.94","428","17.31",,,"4265","1.74","0","0.00"
"007390","네이처셀","15250","-100","-0.65",,,,,"972","15.69","0","0.00"
"033640","네패스","15650","-800","-4.86",,,,,"7667","2.04","0","0.00"
"330860","네패스아크","18000","-250","-1.37","2084","8.64","1941","9.27","16497","1.09","0","0.00"
"005720","넥센","4105","-30","-0.73","521","7.88",,,"19877","0.21","100","2.44"
"005725","넥센우","3270","-135","-3.96",,,,,,,"105","3.21"
"002350","넥센타이어","6120","-370","-5.70","45","136.00","939","6.52","15543","0.39","105","1.72"
"002355","넥센타이어1우B","2655","-190","-6.68",,,,,,,"110","4.14"
"089140","넥스턴바이오","1695","-40","-2.31",,,,,"2892","0.59","0","0.00"
"137940","넥스트아이","572","-27","-4.51",,,,,"1378","0.42","0","0.00"
"396270","넥스트칩","6890","-60","-0.86",,,,,"2223","3.10","0","0.00"
"348210","넥스틴","49850","-1250","-2.45","1889","26.39","6863","7.26","6778","7.35","500","1.00"
"225570","넥슨게임즈","12950","300","2.37",,,,,"2154","6.01","0","0.00"
"217270","넵튠","10500","50","0.48","2518","4.17",,,"12411","0.85","0","0.00"
"251270","넷마블","60400","9100","17.74","2933","20.59","451","133.84","70683","0.85","528","0.87"
"104620","노랑풍선","7520","-420","-5.29",,,,,"3041","2.47","0","0.00"
"090350","노루페인트","7740","-220","-2.76","706","10.96",,,"16859","0.46","275","3.55"
"090355","노루페인트우","15300","100","0.66",,,,,,,"280","1.83"
"000320","노루홀딩스","9970","-380","-3.67","153","65.16","815","12.24","35333","0.28","450","4.51"
"000325","노루홀딩스우","22200","-150","-0.67",,,,,,,"455","2.05"
"194700","노바렉스","10150","-300","-2.87","1724","5.89",,,"9122","1.11","300","2.96"
"285490","노바텍","20500","-900","-4.21","3873","5.29","2893","7.09","11348","1.81","150","0.73"
"106520","노블엠앤비","2995","-5","-0.17",,,,,"2173","1.38","0","0.00"
"376930","노을","8600","400","4.88",,,,,"187","45.99","0","0.00"
"278650","노터스","4650","-380","-7.55","144","32.29",,,"921","5.05","200","4.30"
"006280","녹십자","129500","-4000","-3.00","10796","12.00","6210","20.85","111693","1.16","2000","1.54"
"142280","녹십자엠에스","5780","0","0.00",,,,,"1714","3.37","0","0.00"
"234690","녹십자웰빙","8230","-330","-3.86","378","21.77",,,"4974","1.65","80","0.97"
"005250","녹십자홀딩스","17000","-600","-3.41","1222","13.91",,,"22586","0.75","400","2.35"
"005257","녹십자홀딩스2우","32950","250","0.76",,,,,,,"400","1.21"
"065560","녹원씨엔아이","5770","0","0.00",,,,,"2064","2.80","0","0.00"
"004370","농심","357000","0","0.00","17263","20.68","22178","16.10","377778","0.94","4000","1.12"
"072710","농심홀딩스","66500","-300","-0.45","10581","6.28",,,"223666","0.30","2000","3.01"
